Pendulum - Angles,length: 0.985m,,,,,
Angle (degrees),Trial 1,Trial 2,Trial 3,,,
15,9.83,9.91,9.87,,,
22,10.25,9.75,9.84,,,
30,10.12,10.07,9.78,,,
37,10.31,10.12,10.03,,,
45,10.88,9.72,10,,,
60,10.34,10.13,10.22,,,
,,,,,,
Pendulum - Lengths,angle: 15 degrees,,,,,
Length (m),Trial 1,Trial 2,Trial 3,,,
0.985,9.83,9.91,9.87,,,
0.82,9,8.78,8.88,,,
0.655,8.34,7.91,8.19,,,
0.506,1.04,7.06,6.91,,,
0.398,6.44,6.03,6.44,,,
0.226,4.79,4.38,4.6,,,
,,,,,,
Freefall - stopwatch,,,,,,
Distance (m),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,
0.3,0.5,0.48,0.38,0.4,0.54,
0.45,0.56,0.44,0.52,0.58,0.37,
0.6,0.48,0.43,0.59,0.5,0.53,
0.75,0.56,0.56,0.59,0.6,0.54,
0.9,0.69,0.53,0.56,0.62,0.53,
1.554,0.47,0.5,0.5,0.52,0.53,
1.704,0.69,0.68,0.7,0.72,0.72,
1.904,0.69,0.79,0.78,0.69,0.84,
,,,,,,
Freefall - photogates,,,,,,
Distance (m),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,
0.267,0.17,0.17,0.17,0.17,0.17,
0.385,0.22,0.22,0.21,0.22,0.22,
0.48,0.25,0.25,0.24,0.25,0.25,
0.626,0.28,0.28,0.29,0.29,0.29,
0.734,0.33,0.33,0.32,0.33,0.33,
,,,,,,
Atwood Machine,Distance: 0.387m,,,,,
Mass 1 (kg),Mass 2 (kg),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0.11,0.05,0.3781,0.432,0.3695,0.3834,0.3675
0.1,0.06,0.5281,0.5042,0.474,0.475,0.4751
0.09,0.07,0.6892,0.69,0.681,0.681,0.6952
0.09,0.05,0.4436,0.454,0.4486,0.464,0.4643
0.07,0.05,0.604,0.607,0.6057,0.6117,0.5549
0.08,0.05,0.4768,0.498,0.501,0.5044,0.503
,,,,,,
Incline,length: 2.28m,,,,,
Height: ,Distance:,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5
0.084,1.145,2.75,2.87,2.8,2.87,2.76
0.016,1.13,1.97,2,1.97,1.98,1.96
0.238,1.12,1.61,1.62,1.6,1.59,1.59
0.321,1.12,1.38,1.36,1.37,1.35,1.37
0.398,1.12,1.26,1.29,1.29,1.3,1.3
0.546,0.6,0.96,0.97,0.96,0.97,0.99
0.668,1.045,0.95,0.94,0.94,0.93,0.93
